,comb,mol1,mol2,confidence
16836,comb16837,ZINC000002510896,ZINC000000897131,0.8645945426836849
29069,comb6279_,ZINC000000388498,ZINC000100074293,0.86455903069854
25843,comb3053_,ZINC000000967534,ZINC000002558822,0.864553258436535
42192,comb19402_,ZINC000000897131,ZINC000064622647,0.8644916553168014
16651,comb16652,ZINC000002168416,ZINC000000968282,0.8644295580357879
15251,comb15252,ZINC000001706229,ZINC000000967759,0.8644282719788483
21968,comb21969,ZINC000000388498,ZINC000001580750,0.8644281906453347
22116,comb22117,ZINC000000967534,ZINC000001765793,0.8644089668218264
11276,comb11277,ZINC000001581013,ZINC000000896527,0.8643875536671952
12021,comb12022,ZINC000001598876,ZINC000000896527,0.8643726104782468
26790,comb4000_,ZINC000000388499,ZINC000064624846,0.8642714537376447
16864,comb16865,ZINC000002510896,ZINC000000388506,0.8641636927710528
10971,comb10972,ZINC000001580747,ZINC000000896527,0.8641133626126415
19510,comb19511,ZINC000064858311,ZINC000000388506,0.864107426695428
17396,comb17397,ZINC000002558786,ZINC000000896527,0.8640458715644324
15253,comb15254,ZINC000001706229,ZINC000000968282,0.864026225875617
10036,comb10037,ZINC000001562132,ZINC000000968282,0.864009566037645
44466,comb21676_,ZINC000000968282,ZINC000005705162,0.8639993298222222
15220,comb15221,ZINC000001706229,ZINC000000900729,0.8639917967295464
11095,comb11096,ZINC000001580749,ZINC000000900729,0.8638985987975324
13707,comb13708,ZINC000001665359,ZINC000000896527,0.8638040615198841
29761,comb6971_,ZINC000000900729,ZINC000000038933,0.8636945522342958
19177,comb19178,ZINC000038147440,ZINC000000164418,0.8636863189844395
19006,comb19007,ZINC000008034701,ZINC000000164418,0.8636863189844395
19261,comb19262,ZINC000057677596,ZINC000000164418,0.8636863189844395
20373,comb20374,ZINC000000388499,ZINC000001580750,0.8636318555462721
19150,comb19151,ZINC000038147440,ZINC000000388499,0.863613398166324
18979,comb18980,ZINC000008034701,ZINC000000388499,0.863613398166324
19234,comb19235,ZINC000057677596,ZINC000000388499,0.863613398166324
17499,comb17500,ZINC000002558787,ZINC000000896527,0.86358071018955
41538,comb18748_,ZINC000000896527,ZINC000005935219,0.8634859079867113
18287,comb18288,ZINC000003876017,ZINC000000896527,0.8634102978534518
9886,comb9887,ZINC000001562131,ZINC000001845807,0.8634045194593277
42385,comb19595_,ZINC000000967759,ZINC000070666008,0.8633902221157195
22103,comb22104,ZINC000000967534,ZINC000002584246,0.8632951260867796
20574,comb20575,ZINC000000900729,ZINC000012371961,0.8632495474750674
6460,comb6461,ZINC000100074301,ZINC000000388506,0.863237139306958
36090,comb13300_,ZINC000000896527,ZINC000001632866,0.8632365325327199
22107,comb22108,ZINC000000967534,ZINC000003898186,0.8631596432584299
4801,comb4802,ZINC000064624958,ZINC000000968282,0.8629937261280437
6069,comb6070,ZINC000100074278,ZINC000000897131,0.8629655601647921
11128,comb11129,ZINC000001580749,ZINC000000968282,0.8629475812980444
10821,comb10822,ZINC000001570231,ZINC000000968282,0.8628022723356813
15366,comb15367,ZINC000001717025,ZINC000000164418,0.862795204178517
27202,comb4412_,ZINC000000164418,ZINC000064624955,0.8627894608311766
22470,comb22471,ZINC000001699878,ZINC000002810011,0.8627862372579638
11726,comb11727,ZINC000001589655,ZINC000000896527,0.8627781278433619
19344,comb19345,ZINC000059029793,ZINC000000164418,0.862733373197546
41092,comb18302_,ZINC000001845807,ZINC000003876017,0.8625216229021372
39872,comb17082_,ZINC000000896527,ZINC000002530746,0.8624940492623482
11126,comb11127,ZINC000001580749,ZINC000000967759,0.8624410217649341
18382,comb18383,ZINC000003876018,ZINC000000967534,0.8623733879501035
26819,comb4029_,ZINC000000388498,ZINC000064624846,0.8622971663080092
36363,comb13573_,ZINC000000896527,ZINC000001661476,0.8622538705025531
12025,comb12026,ZINC000001598876,ZINC000000968282,0.8622350221765137
44464,comb21674_,ZINC000000967759,ZINC000005705162,0.8622343660669524
41370,comb18580_,ZINC000001699878,ZINC000003876020,0.8622143577040968
27966,comb5176_,ZINC000000967534,ZINC000070647192,0.8621936121345533
23569,comb779_,ZINC000000900729,ZINC000001570232,0.8621580987503259
25657,comb2867_,ZINC000001845807,ZINC000002558792,0.8621510661404114
38111,comb15321_,ZINC000006118956,ZINC000001717025,0.8621312505639998
2464,comb2465,ZINC000002143278,ZINC000001699878,0.8621245569126045
19592,comb19593,ZINC000070666008,ZINC000000896527,0.8621169952157873
34959,comb12169_,ZINC000000967534,ZINC000001599927,0.8621120749701058
22224,comb22225,ZINC000000968282,ZINC000012371961,0.8621102193630097
19317,comb19318,ZINC000059029793,ZINC000000388499,0.8620635284744391
11878,comb11879,ZINC000001590020,ZINC000000968282,0.8620353671939083
2852,comb2853,ZINC000002558792,ZINC000000896527,0.8620336234533906
6097,comb6098,ZINC000100074278,ZINC000000388506,0.8620334533577108
16550,comb16551,ZINC000002168369,ZINC000001845807,0.8620175078237429
22101,comb22102,ZINC000000967534,ZINC000001867001,0.862012526039859
21858,comb21859,ZINC000000164418,ZINC000001615335,0.8619168523815308
20347,comb20348,ZINC000000388499,ZINC000001646307,0.8617897156766607
32506,comb9716_,ZINC000000968282,ZINC000001530975,0.8617008255909976
40390,comb17600_,ZINC000000388506,ZINC000002558795,0.8616871159136636
20197,comb20198,ZINC000000262398,ZINC000000967534,0.8616286231208027
5375,comb5376,ZINC000070667144,ZINC000001845807,0.8614650282999663
20502,comb20503,ZINC000000897131,ZINC000001656970,0.8614265161476904
28858,comb6068_,ZINC000000388499,ZINC000100074278,0.8614013197419765
41416,comb18626_,ZINC000000388499,ZINC000004769055,0.8613902560613842
1017,comb1018,ZINC000001580987,ZINC000000967534,0.861380773313958
34222,comb11432_,ZINC000000968282,ZINC000001581017,0.8613139994783141
21865,comb21866,ZINC000000164418,ZINC000002167088,0.8612968614285474
13437,comb13438,ZINC000001661474,ZINC000000967534,0.8612680950265198
28887,comb6097_,ZINC000000388498,ZINC000100074278,0.8612488716046263
21170,comb21171,ZINC000001687816,ZINC000001845807,0.8611733734799674
18858,comb18859,ZINC000006118956,ZINC000004521424,0.8611481836669794
35261,comb12471_,ZINC000001845807,ZINC000001600920,0.8610536857932387
26817,comb4027_,ZINC000000164418,ZINC000064624846,0.8610313517159179
19444,comb19445,ZINC000064622647,ZINC000001699878,0.8610124069609426
3643,comb3644,ZINC000064622642,ZINC000000967534,0.861004973974406
42397,comb19607_,ZINC000001845807,ZINC000070666008,0.86096789378363
21990,comb21991,ZINC000000388506,ZINC000002810011,0.8609627646798999
21942,comb21943,ZINC000000388498,ZINC000001646307,0.8609625136588415
21980,comb21981,ZINC000000388506,ZINC000001615334,0.860803933790304
11280,comb11281,ZINC000001581013,ZINC000000968282,0.860761376062563
38010,comb15220_,ZINC000000897131,ZINC000001706229,0.8607587405573415
45121,comb22331_,ZINC000001699878,ZINC000001615334,0.8607550187156725
22081,comb22082,ZINC000000896527,ZINC000002568170,0.8606953171538817
18475,comb18476,ZINC000003876019,ZINC000000967534,0.8606508386556138
2250,comb2251,ZINC000002040927,ZINC000000967534,0.860633275443532
18787,comb18788,ZINC000006118956,ZINC000008034701,0.8605772290251477
18789,comb18790,ZINC000006118956,ZINC000038147440,0.8605772290251477
18790,comb18791,ZINC000006118956,ZINC000057677596,0.8605772290251477
26208,comb3418_,ZINC000000900729,ZINC000038788724,0.8605760389604005
19482,comb19483,ZINC000064858311,ZINC000000897131,0.8605698564773949
26241,comb3451_,ZINC000000968282,ZINC000038788724,0.8605575986809016
17615,comb17616,ZINC000002558795,ZINC000001845807,0.8604346209746052
9885,comb9886,ZINC000001562131,ZINC000001699878,0.8603838517392647
16757,comb16758,ZINC000002242728,ZINC000000896527,0.860330453583765
34531,comb11741_,ZINC000001845807,ZINC000001589655,0.8603189632255371
35813,comb13023_,ZINC000000896527,ZINC000001601911,0.8602913898174757
18655,comb18656,ZINC000004769055,ZINC000000388506,0.8602601547442037
35218,comb12428_,ZINC000000900729,ZINC000001600920,0.8602121317827616
34065,comb11275_,ZINC000000388506,ZINC000001581013,0.8602039323927765
36511,comb13721_,ZINC000001699878,ZINC000001665359,0.860130542534677
44218,comb21428_,ZINC000000967534,ZINC000002530978,0.8600989512686631
4029,comb4030,ZINC000064624846,ZINC000000388506,0.8600445699812401
21860,comb21861,ZINC000000164418,ZINC000001674476,0.8599817224966129
23602,comb812_,ZINC000000968282,ZINC000001570232,0.8599351814168303
26626,comb3836_,ZINC000000388506,ZINC000064622643,0.8598692920965783
21859,comb21860,ZINC000000164418,ZINC000001646307,0.8598650389669016
10975,comb10976,ZINC000001580747,ZINC000000968282,0.8597499476354835
34663,comb11873_,ZINC000000388506,ZINC000001590020,0.85970387931867
32633,comb9843_,ZINC000000897131,ZINC000001562131,0.8596805267210852
34189,comb11399_,ZINC000000900729,ZINC000001581017,0.8596467232816589
44272,comb21482_,ZINC000000968282,ZINC000002558793,0.859621092496994
21948,comb21949,ZINC000000388498,ZINC000002167088,0.859611776065398
34080,comb11290_,ZINC000001699878,ZINC000001581013,0.859481146428281
20455,comb20456,ZINC000000897131,ZINC000001687816,0.8594423398382116
22073,comb22074,ZINC000000896527,ZINC000000087024,0.8593907195301207
4414,comb4415,ZINC000064624955,ZINC000000388506,0.8593804406084098
17400,comb17401,ZINC000002558786,ZINC000000968282,0.8593211777472339
6432,comb6433,ZINC000100074301,ZINC000000897131,0.859280377834481
18627,comb18628,ZINC000004769055,ZINC000000897131,0.8592479942124129
41445,comb18655_,ZINC000000388498,ZINC000004769055,0.8592470011579476
6999,comb7000,ZINC000000038933,ZINC000000896527,0.8590965477416009
40288,comb17498_,ZINC000000388506,ZINC000002558787,0.8590908998297864
33606,comb10816_,ZINC000000388506,ZINC000001570231,0.859067597049503
22479,comb22480,ZINC000001699878,ZINC000001654295,0.8590653515666307
34678,comb11888_,ZINC000001699878,ZINC000001590020,0.8590605313235745
18570,comb18571,ZINC000003876020,ZINC000000968282,0.859013595063042
30322,comb7532_,ZINC000000968282,ZINC000000275176,0.8589825782432907
23612,comb822_,ZINC000001845807,ZINC000001570232,0.8589701850048506
16549,comb16550,ZINC000002168369,ZINC000001699878,0.85895552246111
29221,comb6431_,ZINC000000388499,ZINC000100074301,0.8588855822722161
42217,comb19427_,ZINC000000164418,ZINC000064622647,0.8588821480998972
39436,comb16646_,ZINC000000388506,ZINC000002168416,0.8587818690025505
21646,comb21647,ZINC000004521187,ZINC000004521424,0.8587694672101895
34232,comb11442_,ZINC000001845807,ZINC000001581017,0.8587640428596038
23392,comb602_,ZINC000000968282,ZINC000001570230,0.8587400427787961
32354,comb9564_,ZINC000001845807,ZINC000001530818,0.8586805719666087
5733,comb5734,ZINC000087515592,ZINC000000967534,0.8586415236453498
17503,comb17504,ZINC000002558787,ZINC000000968282,0.8586160572690021
33457,comb10667_,ZINC000000968282,ZINC000001570222,0.8585693465628336
16198,comb16199,ZINC000002041197,ZINC000000967534,0.8585479259947436
15339,comb15340,ZINC000001717025,ZINC000000388499,0.858479377469201
4988,comb4989,ZINC000064624959,ZINC000000967759,0.8584712626244742
21941,comb21942,ZINC000000388498,ZINC000001615335,0.8584637008615428
24226,comb1436_,ZINC000000968282,ZINC000001693568,0.858450201845472
21671,comb21672,ZINC000005705162,ZINC000000896527,0.8583918776913739
21810,comb21811,ZINC000169747359,ZINC000000968282,0.8583792433503524
40303,comb17513_,ZINC000001699878,ZINC000002558787,0.8583348545022096
20480,comb20481,ZINC000000897131,ZINC000001562134,0.8582718471131261
33621,comb10831_,ZINC000001699878,ZINC000001570231,0.8582061171207388
33913,comb11123_,ZINC000000388506,ZINC000001580749,0.8581916938124723
5930,comb5931,ZINC000100074226,ZINC000001845807,0.8581815683575305
23600,comb810_,ZINC000000967759,ZINC000001570232,0.8581792765591147
23402,comb612_,ZINC000001845807,ZINC000001570230,0.858151101830545
26251,comb3461_,ZINC000001845807,ZINC000038788724,0.8581353796431102
20528,comb20529,ZINC000000900729,ZINC000002558793,0.8581155801446977
10046,comb10047,ZINC000001562132,ZINC000001845807,0.8581155016799582
41355,comb18565_,ZINC000000388506,ZINC000003876020,0.858111294348924
22509,comb22510,ZINC000001845807,ZINC000012371961,0.8580979509302465
39769,comb16979_,ZINC000000968282,ZINC000002521500,0.8580831056661986
20353,comb20354,ZINC000000388499,ZINC000002167088,0.8580296207872837
44282,comb21492_,ZINC000001845807,ZINC000002558793,0.8580290488056834
29250,comb6460_,ZINC000000388498,ZINC000100074301,0.8580180327917406
18196,comb18197,ZINC000003876016,ZINC000000968282,0.8579575352760884
39297,comb16507_,ZINC000000897131,ZINC000002168369,0.8579486971215524
28677,comb5887_,ZINC000000897131,ZINC000100074226,0.8579452769197422
22117,comb22118,ZINC000000967534,ZINC000002163914,0.8578927936606717
3841,comb3842,ZINC000064622643,ZINC000000968282,0.8578857945208811
25444,comb2654_,ZINC000000967534,ZINC000002172036,0.8578623992458219
29792,comb7002_,ZINC000000967759,ZINC000000038933,0.8578538105613271
34810,comb12020_,ZINC000000388506,ZINC000001598876,0.8577955066452668
33424,comb10634_,ZINC000000900729,ZINC000001570222,0.8577919121217683
39606,comb16816_,ZINC000006118956,ZINC000002510896,0.8577567137823245
41443,comb18653_,ZINC000000164418,ZINC000004769055,0.8577169452784328
16661,comb16662,ZINC000002168416,ZINC000001845807,0.8577071141796209
11138,comb11139,ZINC000001580749,ZINC000001845807,0.8576948659911
40692,comb17902_,ZINC000000896527,ZINC000002558815,0.8576522020624349
23359,comb569_,ZINC000000900729,ZINC000001570230,0.8575985982007687
12456,comb12457,ZINC000001600920,ZINC000000896527,0.8575980407011621
20530,comb20531,ZINC000000900729,ZINC000003848023,0.8575700675355518
36496,comb13706_,ZINC000000388506,ZINC000001665359,0.8575437995832481
35249,comb12459_,ZINC000000967759,ZINC000001600920,0.8575198652865518
40996,comb18206_,ZINC000001699878,ZINC000003876016,0.857453165566553
29804,comb7014_,ZINC000001845807,ZINC000000038933,0.8574023546074825
44476,comb21686_,ZINC000001845807,ZINC000005705162,0.857382584587465
34825,comb12035_,ZINC000001699878,ZINC000001598876,0.8573496657750193
23390,comb600_,ZINC000000967759,ZINC000001570230,0.8573183582119974
21999,comb22000,ZINC000000388506,ZINC000001654295,0.8572688494693179
20346,comb20347,ZINC000000388499,ZINC000001615335,0.8571400904042477
39736,comb16946_,ZINC000000900729,ZINC000002521500,0.8571395598299928
16761,comb16762,ZINC000002242728,ZINC000000968282,0.85710706818429
20944,comb20945,ZINC000001591814,ZINC000004521424,0.8570907266918247
19008,comb19009,ZINC000008034701,ZINC000000388498,0.857090641131616
19179,comb19180,ZINC000038147440,ZINC000000388498,0.857090641131616
19263,comb19264,ZINC000057677596,ZINC000000388498,0.857090641131616
32311,comb9521_,ZINC000000900729,ZINC000001530818,0.8570493652955566
37159,comb14369_,ZINC000000967534,ZINC000001688068,0.8570477060277624
44475,comb21685_,ZINC000001699878,ZINC000005705162,0.8569775480147892
4001,comb4002,ZINC000064624846,ZINC000000897131,0.8569081232815615
33467,comb10677_,ZINC000001845807,ZINC000001570222,0.8568677230401565
32516,comb9726_,ZINC000001845807,ZINC000001530975,0.856821594423601
5374,comb5375,ZINC000070667144,ZINC000001699878,0.8567378648374586
27175,comb4385_,ZINC000000388499,ZINC000064624955,0.8566821519020973
32342,comb9552_,ZINC000000967759,ZINC000001530818,0.8566342428424916
33455,comb10665_,ZINC000000967759,ZINC000001570222,0.856593092609385
39779,comb16989_,ZINC000001845807,ZINC000002521500,0.8565442675235349
18846,comb18847,ZINC000006118956,ZINC000001646307,0.8564943581439834
44270,comb21480_,ZINC000000967759,ZINC000002558793,0.8564924761312639
24236,comb1446_,ZINC000001845807,ZINC000001693568,0.856454695037737
18872,comb18873,ZINC000006118956,ZINC000001580750,0.8564006217845601
40083,comb17293_,ZINC000000896527,ZINC000002539285,0.8563946924099721
22155,comb22156,ZINC000000967759,ZINC000012371961,0.856385976296747
4621,comb4622,ZINC000064624956,ZINC000001845807,0.8563256354042724
19669,comb19670,ZINC000070667148,ZINC000000388506,0.8562862734468849
30289,comb7499_,ZINC000000900729,ZINC000000275176,0.8561443927887367
44371,comb21581_,ZINC000000968282,ZINC000003848023,0.8560532124431497
18291,comb18292,ZINC000003876017,ZINC000000968282,0.8560011740593633
3446,comb3447,ZINC000038788724,ZINC000000896527,0.8558755572733684
41397,comb18607_,ZINC000006118956,ZINC000004769055,0.8558564296975834
38152,comb15362_,ZINC000004521187,ZINC000001717025,0.8558066725788095
29021,comb6231_,ZINC000006118956,ZINC000100074293,0.8558055517374795
2856,comb2857,ZINC000002558792,ZINC000000968282,0.8557953310620388
28122,comb5332_,ZINC000000897131,ZINC000070667144,0.8556530373428255
32515,comb9725_,ZINC000001699878,ZINC000001530975,0.8556325449552458
35687,comb12897_,ZINC000001845807,ZINC000001601910,0.8556021147930505
40761,comb17971_,ZINC000000900729,ZINC000002558831,0.8555562828421723
35117,comb12327_,ZINC000001845807,ZINC000001599943,0.8555513819479259
26239,comb3449_,ZINC000000967759,ZINC000038788724,0.8555230136513968
35390,comb12600_,ZINC000000896527,ZINC000001601908,0.8554977025885094
23178,comb388_,ZINC000000967534,ZINC000001570229,0.8554947710482022
32793,comb10003_,ZINC000000897131,ZINC000001562132,0.8554853148719102
35532,comb12742_,ZINC000000896527,ZINC000001601909,0.8554736132447394
30332,comb7542_,ZINC000001845807,ZINC000000275176,0.8554680105419337
10788,comb10789,ZINC000001570231,ZINC000000900729,0.8554654073676523
4228,comb4229,ZINC000064624950,ZINC000000968282,0.8554591009948287
6276,comb6277,ZINC000100074293,ZINC000000164418,0.855457071667581
39767,comb16977_,ZINC000000967759,ZINC000002521500,0.8554534443075735
24193,comb1403_,ZINC000000900729,ZINC000001693568,0.8554487653859911
24224,comb1434_,ZINC000000967759,ZINC000001693568,0.8554435013844247
35644,comb12854_,ZINC000000900729,ZINC000001601910,0.8554346124901827
10831,comb10832,ZINC000001570231,ZINC000001845807,0.8554002196401447
20468,comb20469,ZINC000000897131,ZINC000169747359,0.8553950088825399
39116,comb16326_,ZINC000001845807,ZINC000002077483,0.8553444881334502
41091,comb18301_,ZINC000001699878,ZINC000003876017,0.8553267045718485
4237,comb4238,ZINC000064624950,ZINC000001699878,0.8552633649065795
18874,comb18875,ZINC000006118956,ZINC000006920393,0.8551245841869657
34220,comb11430_,ZINC000000967759,ZINC000001581017,0.8551205849516701
15368,comb15369,ZINC000001717025,ZINC000000388498,0.855015090273713
16861,comb16862,ZINC000002510896,ZINC000000164418,0.8550057507151289
42219,comb19429_,ZINC000000388498,ZINC000064622647,0.8549645887335522
42459,comb19669_,ZINC000000388498,ZINC000070667148,0.854937707795627
11730,comb11731,ZINC000001589655,ZINC000000968282,0.8548263438216196
15263,comb15264,ZINC000001706229,ZINC000001845807,0.8548148571188042
26771,comb3981_,ZINC000006118956,ZINC000064624846,0.8547713854084588
12316,comb12317,ZINC000001599943,ZINC000000968282,0.8547114818319193
39073,comb16283_,ZINC000000900729,ZINC000002077483,0.8547090490648719
11845,comb11846,ZINC000001590020,ZINC000000900729,0.8546984441616201
11888,comb11889,ZINC000001590020,ZINC000001845807,0.8545988958988477
42047,comb19257_,ZINC000004521187,ZINC000057677596,0.8545780739161096
41963,comb19173_,ZINC000004521187,ZINC000038147440,0.8545780739161096
41792,comb19002_,ZINC000004521187,ZINC000008034701,0.8545780739161096
19596,comb19597,ZINC000070666008,ZINC000000968282,0.8545751153620191
38988,comb16198_,ZINC000000896527,ZINC000002041197,0.854554094120056
23807,comb1017_,ZINC000000896527,ZINC000001580987,0.8545363600897038
20365,comb20366,ZINC000000388499,ZINC000001656970,0.8545220253542892
40185,comb17395_,ZINC000000388506,ZINC000002558786,0.854513779923064
17614,comb17615,ZINC000002558795,ZINC000001699878,0.8544861449068746
18793,comb18794,ZINC000006118956,ZINC000064858311,0.8544744755280272
10819,comb10820,ZINC000001570231,ZINC000000967759,0.8544350647983109
19346,comb19347,ZINC000059029793,ZINC000000388498,0.8544010583451986
44319,comb21529_,ZINC000000967534,ZINC000002580648,0.8543892558433454
42457,comb19667_,ZINC000000164418,ZINC000070667148,0.8543451698497445
27396,comb4606_,ZINC000000388506,ZINC000064624956,0.8542945091977522
18845,comb18846,ZINC000006118956,ZINC000001615335,0.8542874401621591
40200,comb17410_,ZINC000001699878,ZINC000002558786,0.8542865237392386
20526,comb20527,ZINC000000900729,ZINC000002507978,0.8542766195533615
9713,comb9714,ZINC000001530975,ZINC000000967759,0.8542758864186041
44381,comb21591_,ZINC000001845807,ZINC000003848023,0.8542009343687317
18847,comb18848,ZINC000006118956,ZINC000001674476,0.8541795538232404
11992,comb11993,ZINC000001598876,ZINC000000900729,0.8541694830657766
12035,comb12036,ZINC000001598876,ZINC000001845807,0.8541609762084512
39561,comb16771_,ZINC000001699878,ZINC000002242728,0.8541230597757322
10350,comb10351,ZINC000001570219,ZINC000000967534,0.8541212669729641
36094,comb13304_,ZINC000000968282,ZINC000001632866,0.854110444433911
39546,comb16756_,ZINC000000388506,ZINC000002242728,0.8541089384254142
28702,comb5912_,ZINC000000164418,ZINC000100074226,0.8540807196227449
21576,comb21577,ZINC000003848023,ZINC000000896527,0.8540400850964753
19641,comb19642,ZINC000070667148,ZINC000000897131,0.8540382977034876
11290,comb11291,ZINC000001581013,ZINC000001845807,0.8540144077122348
21877,comb21878,ZINC000000164418,ZINC000001656970,0.8539905606444974
10045,comb10046,ZINC000001562132,ZINC000001699878,0.8538900081331838
3850,comb3851,ZINC000064622643,ZINC000001699878,0.8538569318580191
10507,comb10508,ZINC000001570221,ZINC000000967534,0.8538514986238602
42190,comb19400_,ZINC000000388499,ZINC000064622647,0.8538235131540138
27204,comb4414_,ZINC000000388498,ZINC000064624955,0.8537989982520667
39876,comb17086_,ZINC000000968282,ZINC000002530746,0.8537436464114975
12460,comb12461,ZINC000001600920,ZINC000000968282,0.8537365535505338
42430,comb19640_,ZINC000000388499,ZINC000070667148,0.8536913541652019
11876,comb11877,ZINC000001590020,ZINC000000967759,0.8536675230424456
11247,comb11248,ZINC000001581013,ZINC000000900729,0.8535867256997334
16315,comb16316,ZINC000002077483,ZINC000000968282,0.8535757037813771
17367,comb17368,ZINC000002558786,ZINC000000900729,0.853563620837736
38139,comb15349_,ZINC000001591814,ZINC000001717025,0.853562474575324
16660,comb16661,ZINC000002168416,ZINC000001699878,0.8535143356033696
20862,comb20863,ZINC000001570220,ZINC000000967534,0.8534972390546844
16428,comb16429,ZINC000002143276,ZINC000000968282,0.8534772449209225
24634,comb1844_,ZINC000000967534,ZINC000001758808,0.853449956774242
40981,comb18191_,ZINC000000388506,ZINC000003876016,0.8534220322320439
21960,comb21961,ZINC000000388498,ZINC000001656970,0.8533957158311132
44004,comb21214_,ZINC000000967534,ZINC000001697899,0.8533918557919575
20318,comb20319,ZINC000000388499,ZINC000001687816,0.8533740267367933
9223,comb9224,ZINC000001505075,ZINC000000967534,0.8533583238011484
17706,comb17707,ZINC000002558813,ZINC000000968282,0.8533020370698475
43944,comb21154_,ZINC000000388498,ZINC000001687816,0.8532726414889774
35074,comb12284_,ZINC000000900729,ZINC000001599943,0.8532721078349818
44169,comb21379_,ZINC000000968282,ZINC000002507978,0.8532701312864832
41172,comb18382_,ZINC000000896527,ZINC000003876018,0.8532615372922951
17806,comb17807,ZINC000002558814,ZINC000000968282,0.8532177016264643
41509,comb18719_,ZINC000000900729,ZINC000005935219,0.853113027247635
17513,comb17514,ZINC000002558787,ZINC000001845807,0.8530644724168286
6249,comb6250,ZINC000100074293,ZINC000000388499,0.8530307485536865
4386,comb4387,ZINC000064624955,ZINC000000897131,0.8529844822393667
40362,comb17572_,ZINC000000897131,ZINC000002558795,0.8529399948453622
17410,comb17411,ZINC000002558786,ZINC000001845807,0.8528994894689939
16424,comb16425,ZINC000002143276,ZINC000000896527,0.8528934380306639
21938,comb21939,ZINC000000388498,ZINC000001562134,0.8528616897046809
43942,comb21152_,ZINC000000164418,ZINC000001687816,0.852850409039835
17398,comb17399,ZINC000002558786,ZINC000000967759,0.852822664700287
44369,comb21579_,ZINC000000967759,ZINC000003848023,0.8527447200484596
41265,comb18475_,ZINC000000896527,ZINC000003876019,0.8527370324624595
42396,comb19606_,ZINC000001699878,ZINC000070666008,0.8526784411518922
36227,comb13437_,ZINC000000896527,ZINC000001661474,0.8526747511329584
25040,comb2250_,ZINC000000896527,ZINC000002040927,0.8526723109649343
17191,comb17192,ZINC000002530747,ZINC000000968282,0.8526433120569792
17470,comb17471,ZINC000002558787,ZINC000000900729,0.8526342773670749
9682,comb9683,ZINC000001530975,ZINC000000900729,0.8525806008717619
17802,comb17803,ZINC000002558814,ZINC000000896527,0.8525795046632476
33775,comb10985_,ZINC000001699878,ZINC000001580747,0.8525761185205077
25656,comb2866_,ZINC000001699878,ZINC000002558792,0.8525380766698073
38417,comb15627_,ZINC000001845807,ZINC000001722248,0.85253351774835
36377,comb13587_,ZINC000001845807,ZINC000001661476,0.8524942238418564
13711,comb13712,ZINC000001665359,ZINC000000968282,0.8524678108140994
41327,comb18537_,ZINC000000897131,ZINC000003876020,0.8524164015453455
29968,comb7178_,ZINC000000967534,ZINC000000157489,0.8523767635561955
10942,comb10943,ZINC000001580747,ZINC000000900729,0.8522643098399189
42987,comb20197_,ZINC000000896527,ZINC000000262398,0.8522336929289891
7003,comb7004,ZINC000000038933,ZINC000000968282,0.8521835770049992
34037,comb11247_,ZINC000000897131,ZINC000001581013,0.852171756471504
36104,comb13314_,ZINC000001845807,ZINC000001632866,0.852166362322569
20932,comb20933,ZINC000001591814,ZINC000001646307,0.8521578665455886
4811,comb4812,ZINC000064624958,ZINC000001845807,0.8521518629686646
25239,comb2449_,ZINC000000388498,ZINC000002143278,0.8521415619132146
36061,comb13271_,ZINC000000900729,ZINC000001632866,0.8521243009451682
10985,comb10986,ZINC000001580747,ZINC000001845807,0.8521238582319774
2449,comb2450,ZINC000002143278,ZINC000000388506,0.8521049449520018
39647,comb16857_,ZINC000004521187,ZINC000002510896,0.852074248196914
15616,comb15617,ZINC000001722248,ZINC000000968282,0.8520322395792843
44594,comb21804_,ZINC000000388498,ZINC000169747359,0.8520255998790784
20931,comb20932,ZINC000001591814,ZINC000001615335,0.8520235883805682
21634,comb21635,ZINC000004521187,ZINC000001646307,0.8519724182237994
33760,comb10970_,ZINC000000388506,ZINC000001580747,0.8519308660025596
39886,comb17096_,ZINC000001845807,ZINC000002530746,0.8519026339013945
10973,comb10974,ZINC000001580747,ZINC000000967759,0.8518942031487853
19429,comb19430,ZINC000064622647,ZINC000000388506,0.8518740728086338
17187,comb17188,ZINC000002530747,ZINC000000896527,0.8518738474254252
33885,comb11095_,ZINC000000897131,ZINC000001580749,0.851845670595851
17702,comb17703,ZINC000002558813,ZINC000000896527,0.8518453567327813
5547,comb5548,ZINC000087515584,ZINC000000896527,0.8518350412381471
38035,comb15245_,ZINC000000164418,ZINC000001706229,0.8518247185985733
10192,comb10193,ZINC000001570217,ZINC000000967534,0.8517715370066641
21633,comb21634,ZINC000004521187,ZINC000001615335,0.8517710713404979
38374,comb15584_,ZINC000000900729,ZINC000001722248,0.8517661199140267
15262,comb15263,ZINC000001706229,ZINC000001699878,0.8517575982571306
31348,comb8558_,ZINC000000967534,ZINC000000967827,0.8517409172013525
12882,comb12883,ZINC000001601910,ZINC000000896527,0.8517316352734368
37668,comb14878_,ZINC000000896527,ZINC000001693315,0.8516981052425486
18537,comb18538,ZINC000003876020,ZINC000000900729,0.8516910517341132
16311,comb16312,ZINC000002077483,ZINC000000896527,0.8516837102707349
12312,comb12313,ZINC000001599943,ZINC000000896527,0.8516733755465961
31849,comb9059_,ZINC000000967534,ZINC000001078794,0.8516636632898822
18163,comb18164,ZINC000003876016,ZINC000000900729,0.8516623276428115
