,comb,mol1,mol2,confidence
22474,comb22475,ZINC000001699878,ZINC000004521424,0.9045443550144918
21807,comb21808,ZINC000169747359,ZINC000000967534,0.9040105427219606
4387,comb4388,ZINC000064624955,ZINC000000900729,0.9039499742417592
20557,comb20558,ZINC000000900729,ZINC000002167088,0.9038699651419809
20551,comb20552,ZINC000000900729,ZINC000001646307,0.9038315211184165
19186,comb19187,ZINC000038147440,ZINC000000968282,0.9032856012588031
19015,comb19016,ZINC000008034701,ZINC000000968282,0.9032856012588031
19270,comb19271,ZINC000057677596,ZINC000000968282,0.9032856012588031
22133,comb22134,ZINC000000967759,ZINC000001674476,0.9029197996236942
4607,comb4608,ZINC000064624956,ZINC000000896527,0.9028612661771873
18657,comb18658,ZINC000004769055,ZINC000000896527,0.9027836663835267
22498,comb22499,ZINC000001845807,ZINC000004521424,0.902367500369395
17602,comb17603,ZINC000002558795,ZINC000000967534,0.9020212848349164
10033,comb10034,ZINC000001562132,ZINC000000967534,0.9018593734416395
20522,comb20523,ZINC000000900729,ZINC000001687816,0.9018578006435021
16648,comb16649,ZINC000002168416,ZINC000000967534,0.9015895170475824
22158,comb22159,ZINC000000967759,ZINC000001580750,0.9013335811634023
4797,comb4798,ZINC000064624958,ZINC000000896527,0.9008266831700913
22227,comb22228,ZINC000000968282,ZINC000001580750,0.9007103710880122
20550,comb20551,ZINC000000900729,ZINC000001615335,0.9004801077267146
20569,comb20570,ZINC000000900729,ZINC000001656970,0.9003585483336571
21156,comb21157,ZINC000001687816,ZINC000000896527,0.9002253110057464
4987,comb4988,ZINC000064624959,ZINC000000967534,0.9000114922913713
11125,comb11126,ZINC000001580749,ZINC000000967534,0.8998409530171334
22132,comb22133,ZINC000000967759,ZINC000001646307,0.8998162883419638
15384,comb15385,ZINC000001717025,ZINC000001699878,0.8995701373944092
22138,comb22139,ZINC000000967759,ZINC000002167088,0.8984098619064006
22514,comb22515,ZINC000001845807,ZINC000006920393,0.8983826879024915
15375,comb15376,ZINC000001717025,ZINC000000968282,0.8976846927565132
19671,comb19672,ZINC000070667148,ZINC000000896527,0.8976796336584034
22202,comb22203,ZINC000000968282,ZINC000001674476,0.8975031707934643
16868,comb16869,ZINC000002510896,ZINC000000967759,0.8974217278073682
6101,comb6102,ZINC000100074278,ZINC000000967759,0.8969599743896678
20547,comb20548,ZINC000000900729,ZINC000001562134,0.8965690754190032
22131,comb22132,ZINC000000967759,ZINC000001615335,0.8960884083922246
19363,comb19364,ZINC000059029793,ZINC000001845807,0.8959377673269894
22119,comb22120,ZINC000000967534,ZINC000012371961,0.8958750715146293
19196,comb19197,ZINC000038147440,ZINC000001845807,0.8958596805426582
19025,comb19026,ZINC000008034701,ZINC000001845807,0.8958596805426582
19280,comb19281,ZINC000057677596,ZINC000001845807,0.8958596805426582
19514,comb19515,ZINC000064858311,ZINC000000967759,0.8953962509154506
9712,comb9713,ZINC000001530975,ZINC000000967534,0.8953267311306792
19483,comb19484,ZINC000064858311,ZINC000000900729,0.8949162336466893
22201,comb22202,ZINC000000968282,ZINC000001646307,0.894641472676995
22512,comb22513,ZINC000001845807,ZINC000001580750,0.8941394812887117
22207,comb22208,ZINC000000968282,ZINC000002167088,0.8941068833723008
22150,comb22151,ZINC000000967759,ZINC000001656970,0.8938660101438727
4033,comb4034,ZINC000064624846,ZINC000000967759,0.8938023251587855
16837,comb16838,ZINC000002510896,ZINC000000900729,0.8937633238673763
22200,comb22201,ZINC000000968282,ZINC000001615335,0.8936110161831707
6285,comb6286,ZINC000100074293,ZINC000000968282,0.893508763680114
22488,comb22489,ZINC000001699878,ZINC000001580750,0.8931880696781779
6070,comb6071,ZINC000100074278,ZINC000000900729,0.8930604792182156
21994,comb21995,ZINC000000388506,ZINC000004521424,0.8928221999518857
5548,comb5549,ZINC000087515584,ZINC000000967534,0.8926016550628084
10818,comb10819,ZINC000001570231,ZINC000000967534,0.8924656113167443
5918,comb5919,ZINC000100074226,ZINC000000967759,0.8924101290778214
20535,comb20536,ZINC000000900729,ZINC000169747359,0.8923783455273389
20570,comb20571,ZINC000000900729,ZINC000001668172,0.892118667035303
18567,comb18568,ZINC000003876020,ZINC000000967534,0.8920349978970815
6475,comb6476,ZINC000100074301,ZINC000001699878,0.8918741522875003
6294,comb6295,ZINC000100074293,ZINC000001699878,0.891648777528027
11875,comb11876,ZINC000001590020,ZINC000000967534,0.8913426604053587
18193,comb18194,ZINC000003876016,ZINC000000967534,0.8913148808617243
4002,comb4003,ZINC000064624846,ZINC000000900729,0.89112546152474
2451,comb2452,ZINC000002143278,ZINC000000896527,0.8910166632585336
22010,comb22011,ZINC000000388506,ZINC000006920393,0.8908858952951666
4609,comb4610,ZINC000064624956,ZINC000000967759,0.8908126299687426
4224,comb4225,ZINC000064624950,ZINC000000896527,0.8906720228940962
5887,comb5888,ZINC000100074226,ZINC000000900729,0.8900254844297152
19431,comb19432,ZINC000064622647,ZINC000000896527,0.889902366844752
10972,comb10973,ZINC000001580747,ZINC000000967534,0.8898778180247077
18288,comb18289,ZINC000003876017,ZINC000000967534,0.8897183425599113
13708,comb13709,ZINC000001665359,ZINC000000967534,0.8895825334393106
12022,comb12023,ZINC000001598876,ZINC000000967534,0.8895688842017777
11277,comb11278,ZINC000001581013,ZINC000000967534,0.8894584513200894
18659,comb18660,ZINC000004769055,ZINC000000967759,0.8893023082124363
22128,comb22129,ZINC000000967759,ZINC000001562134,0.8890666507253256
15385,comb15386,ZINC000001717025,ZINC000001845807,0.8889403604240773
4799,comb4800,ZINC000064624958,ZINC000000967759,0.8887990785290736
17397,comb17398,ZINC000002558786,ZINC000000967534,0.8887275524487099
19516,comb19517,ZINC000064858311,ZINC000000968282,0.8887181760659094
4429,comb4430,ZINC000064624955,ZINC000001699878,0.888339804059508
22468,comb22469,ZINC000001699878,ZINC000002167088,0.8882737164710071
6466,comb6467,ZINC000100074301,ZINC000000968282,0.8881590177480607
17500,comb17501,ZINC000002558787,ZINC000000967534,0.888095647002717
3837,comb3838,ZINC000064622643,ZINC000000896527,0.8878908352562788
11727,comb11728,ZINC000001589655,ZINC000000967534,0.8877618152522223
22057,comb22058,ZINC000000896527,ZINC000001615334,0.8876267449686794
22067,comb22068,ZINC000000896527,ZINC000002810011,0.887519765034214
22197,comb22198,ZINC000000968282,ZINC000001562134,0.8873932523570642
18628,comb18629,ZINC000004769055,ZINC000000900729,0.8871346454027541
2853,comb2854,ZINC000002558792,ZINC000000967534,0.8870562895630583
22008,comb22009,ZINC000000388506,ZINC000001580750,0.8870286668780588
22076,comb22077,ZINC000000896527,ZINC000001654295,0.886870865650781
22219,comb22220,ZINC000000968282,ZINC000001656970,0.8865339879402435
22492,comb22493,ZINC000001845807,ZINC000002167088,0.8862283647314827
19593,comb19594,ZINC000070666008,ZINC000000967534,0.8858936187874151
6103,comb6104,ZINC000100074278,ZINC000000968282,0.8855358445253896
4578,comb4579,ZINC000064624956,ZINC000000900729,0.8855137930385233
7000,comb7001,ZINC000000038933,ZINC000000967534,0.8854817102267957
19673,comb19674,ZINC000070667148,ZINC000000967759,0.8853708940063066
16870,comb16871,ZINC000002510896,ZINC000000968282,0.8851803366553501
22480,comb22481,ZINC000001699878,ZINC000001656970,0.885122482092028
16758,comb16759,ZINC000002242728,ZINC000000967534,0.8847838989108057
