,comb,mol1,mol2,confidence
20773,comb20774,ZINC000001092275,ZINC000085548520,0.5220266274332267
14661,comb14662,ZINC000001690839,ZINC000085548520,0.5204378330103842
22220,comb22221,ZINC000000968282,ZINC000001668172,0.5198083081379096
22599,comb22600,ZINC000002810011,ZINC000085548520,0.5188321379340757
14404,comb14405,ZINC000001688068,ZINC000085548520,0.5187523053355146
21886,comb21887,ZINC000000164418,ZINC000085548520,0.5181088844590541
22438,comb22439,ZINC000001674476,ZINC000085548520,0.5171510165384856
22354,comb22355,ZINC000001615334,ZINC000085548520,0.5162488730988531
1053,comb1054,ZINC000001580987,ZINC000085548520,0.515580489702841
18961,comb18962,ZINC000006920369,ZINC000085548520,0.5145495576041793
22558,comb22559,ZINC000002167088,ZINC000085548520,0.514089570487934
6318,comb6319,ZINC000100074293,ZINC000085548520,0.5138497608883982
20088,comb20089,ZINC000000165307,ZINC000085548520,0.513656013113149
6285,comb6286,ZINC000100074293,ZINC000000968282,0.5135631752082255
21136,comb21137,ZINC000001669603,ZINC000085548520,0.5126716739741427
9423,comb9424,ZINC000001510094,ZINC000085548520,0.5117669923654967
8424,comb8425,ZINC000000967819,ZINC000085548520,0.5107809710406492
19549,comb19550,ZINC000064858311,ZINC000085548520,0.5105199027350446
18873,comb18874,ZINC000006118956,ZINC000085548520,0.5097850828637889
22411,comb22412,ZINC000001646307,ZINC000085548520,0.5082935392261624
7911,comb7912,ZINC000000404458,ZINC000085548520,0.5071890504165919
1879,comb1880,ZINC000001758808,ZINC000085548520,0.5066189266424349
22753,comb22754,ZINC000001668172,ZINC000085548520,0.5061110787260832
21810,comb21811,ZINC000169747359,ZINC000000968282,0.505775671977132
22653,comb22654,ZINC000003898186,ZINC000085548520,0.505513670321744
13744,comb13745,ZINC000001665359,ZINC000085548520,0.5043674312366307
4644,comb4645,ZINC000064624956,ZINC000085548520,0.5016479645207488
20836,comb20837,ZINC000001504642,ZINC000085548520,0.5013946022444136
21969,comb21970,ZINC000000388498,ZINC000085548520,0.49982302959531216
22684,comb22685,ZINC000004916677,ZINC000085548520,0.4992757122486778
20014,comb20015,ZINC000000154638,ZINC000085548520,0.4992228458732799
22227,comb22228,ZINC000000968282,ZINC000001580750,0.49907279698775553
22788,comb22789,ZINC000001580750,ZINC000085548520,0.4988764296874892
15286,comb15287,ZINC000001706229,ZINC000085548520,0.4988713561034405
21708,comb21709,ZINC000005705162,ZINC000085548520,0.49816374850843004
22636,comb22637,ZINC000003861058,ZINC000085548520,0.4965658824685051
19134,comb19135,ZINC000008683005,ZINC000085548520,0.4952251188478411
18694,comb18695,ZINC000004769055,ZINC000085548520,0.4947155180393527
22324,comb22325,ZINC000001570209,ZINC000085548520,0.4935247783270188
19468,comb19469,ZINC000064622647,ZINC000085548520,0.4926509529321697
11614,comb11615,ZINC000001586329,ZINC000085548520,0.49250105918034903
22744,comb22745,ZINC000001656970,ZINC000085548520,0.49245349013841433
22536,comb22537,ZINC000001867001,ZINC000085548520,0.491371694907384
20959,comb20960,ZINC000001591814,ZINC000085548520,0.4905977529147591
19516,comb19517,ZINC000064858311,ZINC000000968282,0.48940124578230376
6656,comb6657,ZINC000197382366,ZINC000001845807,0.48879449424717786
22207,comb22208,ZINC000000968282,ZINC000002167088,0.48731559150673126
22293,comb22294,ZINC000001562134,ZINC000085548520,0.48702834007022916
20443,comb20444,ZINC000000389555,ZINC000085548520,0.4867043814439864
4068,comb4069,ZINC000064624846,ZINC000085548520,0.4860169948423678
5732,comb5733,ZINC000087515592,ZINC000000896527,0.4859731342665502
5023,comb5024,ZINC000064624959,ZINC000085548520,0.48506989366233283
21661,comb21662,ZINC000004521187,ZINC000085548520,0.48480373806447397
6136,comb6137,ZINC000100074278,ZINC000085548520,0.48342152092848
22783,comb22784,ZINC000038350321,ZINC000085548520,0.48247320928497506
22618,comb22619,ZINC000003860823,ZINC000085548520,0.48217913812100155
22201,comb22202,ZINC000000968282,ZINC000001646307,0.4817079774691051
6640,comb6641,ZINC000197382366,ZINC000000388506,0.48092905377765627
3874,comb3875,ZINC000064622643,ZINC000085548520,0.48009150430322883
4611,comb4612,ZINC000064624956,ZINC000000968282,0.47987776105545576
16794,comb16795,ZINC000002242728,ZINC000085548520,0.4795090088271721
22579,comb22580,ZINC000002584246,ZINC000085548520,0.47690042555055734
2488,comb2489,ZINC000002143278,ZINC000085548520,0.47566387336475685
14011,comb14012,ZINC000001667772,ZINC000085548520,0.4756378030132718
22734,comb22735,ZINC000001654295,ZINC000085548520,0.47540084325491905
21078,comb21079,ZINC000001666853,ZINC000085548520,0.474876104640582
19708,comb19709,ZINC000070667148,ZINC000085548520,0.4744314947248904
22698,comb22699,ZINC000000087024,ZINC000085548520,0.474429085189686
2689,comb2690,ZINC000002172036,ZINC000085548520,0.47392792638063164
